name,sex,age,height,weight,bmi,country,year,season,city,sport,medal
"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,23.71,Australia,2016,Summer,Rio de Janeiro,Swimming,Bronze
Ara Abrahamian,M,29.0,191.0,84.0,23.03,Sweden,2004,Summer,Athina,Wrestling,Silver
Pavel Sergeyevich Abramov,M,25.0,198.0,89.0,22.7,Russia,2004,Summer,Athina,Volleyball,Bronze
Yekaterina Konstantinovna Abramova,F,23.0,167.0,65.0,23.31,Russia,2006,Winter,Torino,Speed Skating,Bronze
"Alejandro ""lex"" Abrines Redondo",M,23.0,198.0,93.0,23.72,Spain,2016,Summer,Rio de Janeiro,Basketball,Bronze
Svetlana Olegovna Abrosimova,F,28.0,188.0,77.0,21.79,Russia,2008,Summer,Beijing,Basketball,Bronze
Julien Absalon,M,23.0,180.0,68.0,20.99,France,2004,Summer,Athina,Cycling,Gold
Julien Absalon,M,27.0,180.0,68.0,20.99,France,2008,Summer,Beijing,Cycling,Gold
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,17.78,Romania,2008,Summer,Beijing,Gymnastics,Bronze
William Accambray,M,24.0,194.0,104.0,27.63,France,2012,Summer,London,Handball,Gold
Chantal Achterberg,F,27.0,172.0,72.0,24.34,Netherlands,2012,Summer,London,Rowing,Bronze
Chantal Achterberg,F,31.0,172.0,72.0,24.34,Netherlands,2016,Summer,Rio de Janeiro,Rowing,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Salt Lake City,Nordic Combined,Silver
Ronny Ackermann,M,24.0,184.0,69.0,20.38,Germany,2002,Winter,Salt Lake City,Nordic Combined,Silver
Ronny Ackermann,M,28.0,184.0,69.0,20.38,Germany,2006,Winter,Torino,Nordic Combined,Silver
Lautaro Germn Acosta,M,20.0,168.0,72.0,25.51,Argentina,2008,Summer,Beijing,Football,Gold
Osmay Acosta Duarte,M,23.0,188.0,91.0,25.75,Cuba,2008,Summer,Beijing,Boxing,Bronze
"Michael B. ""Mike"" Adam",M,24.0,175.0,95.0,31.02,Canada,2006,Winter,Torino,Curling,Gold
Nicola Virginia Adams,F,29.0,164.0,51.0,18.96,United Kingdom,2012,Summer,London,Boxing,Gold
Nicola Virginia Adams,F,33.0,164.0,51.0,18.96,United Kingdom,2016,Summer,Rio de Janeiro,Boxing,Gold
Rachael Alexis Adams,F,26.0,188.0,81.0,22.92,United States of America,2016,Summer,Rio de Janeiro,Volleyball,Bronze
"Victoria ""Vicki"" Adams",F,24.0,164.0,69.0,25.65,United Kingdom,2014,Winter,Sochi,Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,32.22,New Zealand,2008,Summer,Beijing,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,27.0,193.0,120.0,32.22,New Zealand,2012,Summer,London,Athletics,Gold
Valerie Kasanita Adams-Vili (-Price),F,31.0,193.0,120.0,32.22,New Zealand,2016,Summer,Rio de Janeiro,Athletics,Silver
Filip Kamil Adamski,M,29.0,189.0,87.0,24.36,Germany,2012,Summer,London,Rowing,Gold
Adenzia Aparecida Ferreira da Silva,F,25.0,187.0,65.0,18.59,Brazil,2012,Summer,London,Volleyball,Gold
"Richard ""Richy""  Adjei",M,27.0,190.0,110.0,30.47,Germany,2010,Winter,Vancouver,Bobsleigh,Silver
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Beijing,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,21.85,United Kingdom,2008,Summer,Beijing,Swimming,Gold
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,London,Swimming,Bronze
"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,21.85,United Kingdom,2012,Summer,London,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,25.51,United States of America,2008,Summer,Beijing,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,London,Swimming,Gold
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,London,Swimming,Silver
Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,25.51,United States of America,2012,Summer,London,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Rio de Janeiro,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Rio de Janeiro,Swimming,Bronze
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Rio de Janeiro,Swimming,Gold
Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,25.51,United States of America,2016,Summer,Rio de Janeiro,Swimming,Gold
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,19.23,Russia,2012,Summer,London,Gymnastics,Silver
Maksim Sergeyevich Afinogenov,M,22.0,183.0,88.0,26.28,Russia,2002,Winter,Salt Lake City,Ice Hockey,Bronze
Luca Agamennoni,M,24.0,187.0,93.0,26.59,Italy,2004,Summer,Athina,Rowing,Bronze
Luca Agamennoni,M,27.0,187.0,93.0,26.59,Italy,2008,Summer,Beijing,Rowing,Silver
Clarisse Agbegnenou,F,23.0,164.0,66.0,24.54,France,2016,Summer,Rio de Janeiro,Judo,Silver
Marilyn Agliotti,F,29.0,172.0,58.0,19.61,Netherlands,2008,Summer,Beijing,Hockey,Gold
Marilyn Agliotti,F,33.0,172.0,58.0,19.61,Netherlands,2012,Summer,London,Hockey,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,London,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,London,Swimming,Gold
Yannick Agnel,M,20.0,202.0,90.0,22.06,France,2012,Summer,London,Swimming,Silver
Meghan Christina Agosta (-Marciano),F,18.0,168.0,67.0,23.74,Canada,2006,Winter,Torino,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23.0,168.0,67.0,23.74,Canada,2010,Winter,Vancouver,Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26.0,168.0,67.0,23.74,Canada,2014,Winter,Sochi,Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24.0,178.0,75.0,23.67,United States of America,2006,Winter,Torino,Figure Skating,Silver
Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,25.01,Argentina,2008,Summer,Beijing,Football,Gold
Macarena Aguilar Daz,F,27.0,170.0,67.0,23.18,Spain,2012,Summer,London,Handball,Bronze
Sandra Aguilar Navarro,F,23.0,167.0,50.0,17.93,Spain,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Silver
Robyn Mokihana Ah Mow-Santos,F,32.0,172.0,67.0,22.65,United States of America,2008,Summer,Beijing,Volleyball,Silver
Annica Gunilla hln,F,27.0,177.0,75.0,23.94,Sweden,2002,Winter,Salt Lake City,Ice Hockey,Bronze
Christian Ahlmann,M,29.0,189.0,80.0,22.4,Germany,2004,Summer,Athina,Equestrianism,Bronze
Christian Ahlmann,M,41.0,189.0,80.0,22.4,Germany,2016,Summer,Rio de Janeiro,Equestrianism,Bronze
Janne Petteri Ahonen,M,24.0,184.0,66.0,19.49,Finland,2002,Winter,Salt Lake City,Ski Jumping,Silver
Janne Petteri Ahonen,M,28.0,184.0,66.0,19.49,Finland,2006,Winter,Torino,Ski Jumping,Silver
"Christian ""Chris"" Ahrens",M,28.0,195.0,97.0,25.51,United States of America,2004,Summer,Athina,Rowing,Gold
Matteo Aicardi,M,26.0,192.0,102.0,27.67,Italy,2012,Summer,London,Water Polo,Silver
Matteo Aicardi,M,30.0,192.0,102.0,27.67,Italy,2016,Summer,Rio de Janeiro,Water Polo,Bronze
Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,22.04,Argentina,2004,Summer,Athina,Hockey,Bronze
Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,22.04,Argentina,2008,Summer,Beijing,Hockey,Bronze
Rosaria Aiello,F,27.0,172.0,74.0,25.01,Italy,2016,Summer,Rio de Janeiro,Water Polo,Silver
Hannes Aigner,M,23.0,183.0,75.0,22.4,Germany,2012,Summer,London,Canoeing,Bronze
Ryoji Aikawa,M,28.0,183.0,85.0,25.38,Japan,2004,Summer,Athina,Baseball,Bronze
"Charles Benedict ""Ben"" Ainslie",M,27.0,183.0,90.0,26.87,United Kingdom,2004,Summer,Athina,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,31.0,183.0,90.0,26.87,United Kingdom,2008,Summer,Beijing,Sailing,Gold
"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,26.87,United Kingdom,2012,Summer,London,Sailing,Gold
Artur Surenovych Aivazian,M,35.0,177.0,88.0,28.09,Ukraine,2008,Summer,Beijing,Shooting,Gold
Mobolade Abimbola Ajomale,M,20.0,180.0,62.0,19.14,Canada,2016,Summer,Rio de Janeiro,Athletics,Bronze
Albina Khamitovna Akhatova,F,25.0,160.0,55.0,21.48,Russia,2002,Winter,Salt Lake City,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Torino,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Torino,Biathlon,Bronze
Albina Khamitovna Akhatova,F,29.0,160.0,55.0,21.48,Russia,2006,Winter,Torino,Biathlon,Gold
Artur Kamilevich Akhmatkhuzin,M,28.0,187.0,79.0,22.59,Russia,2016,Summer,Rio de Janeiro,Fencing,Gold
Bakhtiyar Shakhabutdinovich Akhmedov,M,21.0,190.0,120.0,33.24,Russia,2008,Summer,Beijing,Wrestling,Silver
Morolake Akinosun,F,22.0,163.0,61.0,22.96,United States of America,2016,Summer,Rio de Janeiro,Athletics,Gold
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,21.66,United States of America,2012,Summer,London,Volleyball,Silver
Foluke Antinuke Akinradewo,F,28.0,191.0,79.0,21.66,United States of America,2016,Summer,Rio de Janeiro,Volleyball,Bronze
Khadzhimurat Magomedovich Akkayev,M,19.0,178.0,105.0,33.14,Russia,2004,Summer,Athina,Weightlifting,Silver
Khadzhimurat Magomedovich Akkayev,M,23.0,178.0,105.0,33.14,Russia,2008,Summer,Beijing,Weightlifting,Bronze
Monica Aksamit,F,26.0,183.0,74.0,22.1,United States of America,2016,Summer,Rio de Janeiro,Fencing,Bronze
Marina Alabau Neira,F,26.0,164.0,55.0,20.45,Spain,2012,Summer,London,Sailing,Gold
Ruslan Vladimirovich Albegov,M,24.0,192.0,156.0,42.32,Russia,2012,Summer,London,Weightlifting,Bronze
Nely Carla Alberto Francisca,F,29.0,179.0,90.0,28.09,Spain,2012,Summer,London,Handball,Bronze
Islam-Beka Said-Tsilimovich Albiyev,M,19.0,165.0,66.0,24.24,Russia,2008,Summer,Beijing,Wrestling,Gold
Brigitte Albrecht-Loretan,F,31.0,175.0,64.0,20.9,Switzerland,2002,Winter,Salt Lake City,Cross Country Skiing,Bronze
David Alegre Biosca,M,23.0,184.0,75.0,22.15,Spain,2008,Summer,Beijing,Hockey,Silver
Ramn Alegre Biosca,M,27.0,171.0,71.0,24.28,Spain,2008,Summer,Beijing,Hockey,Silver
Jo Qesem Ayela Aleh,F,26.0,171.0,58.0,19.84,New Zealand,2012,Summer,London,Sailing,Gold
Jo Qesem Ayela Aleh,F,30.0,171.0,58.0,19.84,New Zealand,2016,Summer,Rio de Janeiro,Sailing,Silver
Milan Aleksi,M,26.0,193.0,96.0,25.77,Serbia,2012,Summer,London,Water Polo,Bronze
Milan Aleksi,M,30.0,193.0,96.0,25.77,Serbia,2016,Summer,Rio de Janeiro,Water Polo,Gold
Alex Sandro Lobo Silva,M,21.0,177.0,60.0,19.15,Brazil,2012,Summer,London,Football,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,22.16,Brazil,2008,Summer,Beijing,Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,22.16,Brazil,2012,Summer,London,Football,Silver
Hans Daniel Alfredsson,M,33.0,182.0,92.0,27.77,Sweden,2006,Winter,Torino,Ice Hockey,Gold
Hans Daniel Alfredsson,M,41.0,182.0,92.0,27.77,Sweden,2014,Winter,Sochi,Ice Hockey,Silver
Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,21.08,Sweden,2012,Summer,London,Equestrianism,Silver
Nia Sifaatihii Ali,F,27.0,170.0,65.0,22.49,United States of America,2016,Summer,Rio de Janeiro,Athletics,Silver
Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,25.51,Russia,2004,Summer,Athina,Shooting,Bronze
Mirko Alilovi,M,26.0,200.0,110.0,27.5,Croatia,2012,Summer,London,Handball,Bronze
Aline Pellegrino,F,22.0,180.0,71.0,21.91,Brazil,2004,Summer,Athina,Football,Silver
Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,26.12,Russia,2004,Summer,Athina,Shooting,Gold
Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,26.12,Russia,2008,Summer,Beijing,Shooting,Bronze
Alison Conte Cerutti,M,26.0,203.0,106.0,25.72,Brazil,2012,Summer,London,Beach Volleyball,Silver
Alison Conte Cerutti,M,30.0,203.0,106.0,25.72,Brazil,2016,Summer,Rio de Janeiro,Beach Volleyball,Gold
Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,15.85,Russia,2008,Summer,Beijing,Rhythmic Gymnastics,Gold
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,19.95,Austria,2004,Summer,Athina,Triathlon,Gold
Wyatt Allen,M,25.0,193.0,98.0,26.31,United States of America,2004,Summer,Athina,Rowing,Gold
Wyatt Allen,M,29.0,193.0,98.0,26.31,United States of America,2008,Summer,Beijing,Rowing,Bronze
"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,20.42,Australia,2004,Summer,Athina,Softball,Silver
"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,20.42,Australia,2008,Summer,Beijing,Softball,Bronze
Carmela Allucci,F,34.0,167.0,60.0,21.51,Italy,2004,Summer,Athina,Water Polo,Gold
"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29.0,170.0,69.0,23.88,Sweden,2002,Winter,Salt Lake City,Ice Hockey,Bronze
Jessica Alonso Bernardo,F,28.0,172.0,65.0,21.97,Spain,2012,Summer,London,Handball,Bronze
"Mikhail Surenovich ""Misha"" Aloyan",M,23.0,164.0,52.0,19.33,Russia,2012,Summer,London,Boxing,Bronze
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,Salt Lake City,Cross Country Skiing,Gold
Thomas Alsgaard (Alsgrd-),M,30.0,190.0,82.0,22.71,Norway,2002,Winter,Salt Lake City,Cross Country Skiing,Gold
Ida Alstad,F,27.0,172.0,60.0,20.28,Norway,2012,Summer,London,Handball,Gold
Ida Alstad,F,31.0,172.0,60.0,20.28,Norway,2016,Summer,Rio de Janeiro,Handball,Bronze
Lutz Altepost,M,26.0,193.0,92.0,24.7,Germany,2008,Summer,Beijing,Canoeing,Bronze
Livia Altmann,F,19.0,165.0,64.0,23.51,Switzerland,2014,Winter,Sochi,Ice Hockey,Bronze
"Eduardo C. ""Eddy"" Alvarez",M,24.0,175.0,72.0,23.51,United States of America,2014,Winter,Sochi,Short Track Speed Skating,Silver
Lzaro Jorge lvarez Estrada,M,21.0,173.0,60.0,20.05,Cuba,2012,Summer,London,Boxing,Bronze
Lzaro Jorge lvarez Estrada,M,25.0,173.0,60.0,20.05,Cuba,2016,Summer,Rio de Janeiro,Boxing,Bronze
Thiago Soares Alves,M,25.0,194.0,88.0,23.38,Brazil,2012,Summer,London,Volleyball,Silver
Ivan Vladimirovich Alypov,M,23.0,169.0,60.0,21.01,Russia,2006,Winter,Torino,Cross Country Skiing,Bronze
Catello Amarante,M,24.0,177.0,73.0,23.3,Italy,2004,Summer,Athina,Rowing,Bronze
"Pablo ""Pol"" Amat Escud",M,30.0,183.0,78.0,23.29,Spain,2008,Summer,Beijing,Hockey,Silver
Sbastien Amiez,M,29.0,180.0,87.0,26.85,France,2002,Winter,Salt Lake City,Alpine Skiing,Silver
Salvatore Amitrano,M,28.0,184.0,73.0,21.56,Italy,2004,Summer,Athina,Rowing,Bronze
Simon Ammann,M,20.0,171.0,55.0,18.81,Switzerland,2002,Winter,Salt Lake City,Ski Jumping,Gold
Simon Ammann,M,20.0,171.0,55.0,18.81,Switzerland,2002,Winter,Salt Lake City,Ski Jumping,Gold
Simon Ammann,M,28.0,171.0,55.0,18.81,Switzerland,2010,Winter,Vancouver,Ski Jumping,Gold
Simon Ammann,M,28.0,171.0,55.0,18.81,Switzerland,2010,Winter,Vancouver,Ski Jumping,Gold
"Anthony Lewis ""Tony"" Amonte",M,31.0,183.0,91.0,27.17,United States of America,2002,Winter,Salt Lake City,Ice Hockey,Silver
Vanessa Amors Quiles,F,29.0,165.0,62.0,22.77,Spain,2012,Summer,London,Handball,Bronze
An Ba-Ul,M,22.0,169.0,66.0,23.11,South Korea,2016,Summer,Rio de Janeiro,Judo,Silver
An Jeong-Hwa,F,27.0,162.0,62.0,23.62,South Korea,2008,Summer,Beijing,Handball,Bronze
An Kum-Ae,F,28.0,160.0,52.0,20.31,South Korea,2008,Summer,Beijing,Judo,Silver
An Kum-Ae,F,32.0,160.0,52.0,20.31,South Korea,2012,Summer,London,Judo,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,Torino,Short Track Speed Skating,Bronze
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,Torino,Short Track Speed Skating,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,Torino,Short Track Speed Skating,Gold
Viktor An,M,20.0,170.0,65.0,22.49,South Korea,2006,Winter,Torino,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Sochi,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Sochi,Short Track Speed Skating,Gold
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Sochi,Short Track Speed Skating,Bronze
Viktor An,M,28.0,170.0,65.0,22.49,Russia,2014,Winter,Sochi,Short Track Speed Skating,Gold
An Yulong,M,23.0,173.0,70.0,23.39,China,2002,Winter,Salt Lake City,Short Track Speed Skating,Bronze
Mario Ani,M,20.0,195.0,84.0,22.09,Croatia,2004,Summer,Athina,Tennis,Bronze
milie Andol,F,28.0,170.0,97.0,33.56,France,2016,Summer,Rio de Janeiro,Judo,Gold
"Stefan ""Steve"" Anderhub",M,31.0,187.0,104.0,29.74,Switzerland,2002,Winter,Salt Lake City,Bobsleigh,Silver
Anne Dsane Andersen,F,23.0,183.0,86.0,25.68,Denmark,2016,Summer,Rio de Janeiro,Rowing,Bronze
Kristine Andersen,F,28.0,172.0,72.0,24.34,Denmark,2004,Summer,Athina,Handball,Gold
Mads Christian Kruse Andersen,M,30.0,187.0,75.0,21.45,Denmark,2008,Summer,Beijing,Rowing,Gold
nderson Lus de Abreu Oliveira,M,20.0,176.0,77.0,24.86,Brazil,2008,Summer,Beijing,Football,Bronze
Anderson de Oliveira Rodrigues,M,30.0,190.0,95.0,26.32,Brazil,2004,Summer,Athina,Volleyball,Gold
Anderson de Oliveira Rodrigues,M,34.0,190.0,95.0,26.32,Brazil,2008,Summer,Beijing,Volleyball,Silver
Alyssa Jean Anderson,F,21.0,173.0,64.0,21.38,United States of America,2012,Summer,London,Swimming,Gold
Brett Franklin Anderson,M,20.0,193.0,104.0,27.92,United States of America,2008,Summer,Beijing,Baseball,Bronze
Craig Anthony Anderson,M,23.0,187.0,86.0,24.59,Australia,2004,Summer,Athina,Baseball,Silver
Haley Danita Anderson,F,20.0,178.0,68.0,21.46,United States of America,2012,Summer,London,Swimming,Silver
Jamie Louise Anderson,F,23.0,160.0,54.0,21.09,United States of America,2014,Winter,Sochi,Snowboarding,Gold
Jasey-Jay Anderson,M,34.0,178.0,80.0,25.25,Canada,2010,Winter,Vancouver,Snowboarding,Gold
"Matthew John ""Matt"" Anderson",M,29.0,202.0,100.0,24.51,United States of America,2016,Summer,Rio de Janeiro,Volleyball,Bronze
Anna Christina Andersson,F,20.0,169.0,63.0,22.06,Sweden,2002,Winter,Salt Lake City,Ice Hockey,Bronze
Cecilia Christine Elisabeth Andersson,F,23.0,179.0,74.0,23.1,Sweden,2006,Winter,Torino,Ice Hockey,Silver
Gunilla Victoria Andersson,F,26.0,169.0,69.0,24.16,Sweden,2002,Winter,Salt Lake City,Ice Hockey,Bronze
Gunilla Victoria Andersson,F,30.0,169.0,69.0,24.16,Sweden,2006,Winter,Torino,Ice Hockey,Silver
Jonna Andersson,F,23.0,167.0,61.0,21.87,Sweden,2016,Summer,Rio de Janeiro,Football,Silver
Kim Verner Andersson,M,29.0,200.0,105.0,26.25,Sweden,2012,Summer,London,Handball,Silver
Lina Marie Andersson,F,24.0,158.0,58.0,23.23,Sweden,2006,Winter,Torino,Cross Country Skiing,Gold
Erik Mattias Andersson,M,34.0,186.0,95.0,27.46,Sweden,2012,Summer,London,Handball,Silver
Kozue Ando,F,30.0,164.0,57.0,21.19,Japan,2012,Summer,London,Football,Silver
Yuya Ando,M,26.0,183.0,89.0,26.58,Japan,2004,Summer,Athina,Baseball,Bronze
Gunn Margit Aas Andreassen,F,28.0,177.0,60.0,19.15,Norway,2002,Winter,Salt Lake City,Biathlon,Silver
Andria Suntaque,F,26.0,175.0,65.0,21.22,Brazil,2004,Summer,Athina,Football,Silver
Andria Suntaque,F,30.0,175.0,65.0,21.22,Brazil,2008,Summer,Beijing,Football,Silver
Frode Andresen,M,28.0,191.0,76.0,20.83,Norway,2002,Winter,Salt Lake City,Biathlon,Gold
Frode Andresen,M,32.0,191.0,76.0,20.83,Norway,2006,Winter,Torino,Biathlon,Bronze
Scott Andrews,M,24.0,175.0,85.0,27.76,United Kingdom,2014,Winter,Sochi,Curling,Silver
Valeriy Oleksandrovych Andriitsev,M,25.0,181.0,97.0,29.61,Ukraine,2012,Summer,London,Wrestling,Silver
Yekaterina Sergeyevna Andryushina,F,22.0,185.0,70.0,20.45,Russia,2008,Summer,Beijing,Handball,Silver
Matteo Anesi,M,21.0,185.0,81.0,23.67,Italy,2006,Winter,Torino,Speed Skating,Gold
Nadine Marejke Angerer,F,29.0,174.0,70.0,23.12,Germany,2008,Summer,Beijing,Football,Bronze
Tobias Angerer,M,24.0,179.0,72.0,22.47,Germany,2002,Winter,Salt Lake City,Cross Country Skiing,Bronze
Tobias Angerer,M,28.0,179.0,72.0,22.47,Germany,2006,Winter,Torino,Cross Country Skiing,Bronze
Tobias Angerer,M,28.0,179.0,72.0,22.47,Germany,2006,Winter,Torino,Cross Country Skiing,Silver
Tobias Angerer,M,32.0,179.0,72.0,22.47,Germany,2010,Winter,Vancouver,Cross Country Skiing,Silver
Marina Vyacheslavovna Anissina (-Dzhigurda),F,26.0,162.0,52.0,19.81,France,2002,Winter,Salt Lake City,Figure Skating,Gold
Martin Annen,M,27.0,181.0,98.0,29.91,Switzerland,2002,Winter,Salt Lake City,Bobsleigh,Bronze
Martin Annen,M,31.0,181.0,98.0,29.91,Switzerland,2006,Winter,Torino,Bobsleigh,Bronze
Martin Annen,M,31.0,181.0,98.0,29.91,Switzerland,2006,Winter,Torino,Bobsleigh,Bronze
Noriko Anno,F,28.0,162.0,76.0,28.96,Japan,2004,Summer,Athina,Judo,Gold
Roman Sergeyevich Anoshkin,M,28.0,192.0,95.0,25.77,Russia,2016,Summer,Rio de Janeiro,Canoeing,Bronze
Daniela Anschtz-Thoms,F,31.0,165.0,60.0,22.04,Germany,2006,Winter,Torino,Speed Skating,Gold
Daniela Anschtz-Thoms,F,35.0,165.0,60.0,22.04,Germany,2010,Winter,Vancouver,Speed Skating,Gold
Giselle Anne Ansley,F,24.0,176.0,73.0,23.57,United Kingdom,2016,Summer,Rio de Janeiro,Hockey,Gold
Dana Antal,F,24.0,170.0,64.0,22.15,Canada,2002,Winter,Salt Lake City,Ice Hockey,Gold
Dborah Jessica Anthonioz,F,31.0,165.0,52.0,19.1,France,2010,Winter,Vancouver,Snowboarding,Silver
Carmelo Kyan Anthony,M,20.0,203.0,109.0,26.45,United States of America,2004,Summer,Athina,Basketball,Bronze
Carmelo Kyan Anthony,M,24.0,203.0,109.0,26.45,United States of America,2008,Summer,Beijing,Basketball,Gold
